::ffff:109.237.98.226 - - [19/Jun/2023:00:11:32 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:18.218.206.191 - - [19/Jun/2023:00:11:51 +0000] "GET / HTTP/1.1" 200 57394 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:18.218.206.191 - - [19/Jun/2023:00:11:51 +0000] "GET /ie7/ie7-standard-p.js HTTP/1.1" 404 160 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:179.43.169.180 - - [19/Jun/2023:00:26:14 +0000] "GET / HTTP/1.1" 200 57394 "-" "Mozilla/5.0 (X11; Linux i686; rv:10.0) Gecko/20100101 Firefox/10.0"
::ffff:179.43.169.180 - - [19/Jun/2023:00:26:14 +0000] "GET / HTTP/1.1" 200 57394 "-" "Mozilla/5.0 (X11; Linux i686; rv:10.0) Gecko/20100101 Firefox/10.0"
::ffff:51.89.5.185 - - [19/Jun/2023:00:31:05 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:51.89.5.185 - - [19/Jun/2023:00:31:05 +0000] "POST / HTTP/1.1" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:213.180.203.164 - - [19/Jun/2023:00:35:56 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
::ffff:40.77.167.124 - - [19/Jun/2023:00:38:09 +0000] "GET /contact?s=1&ss=9 HTTP/1.1" 200 9997 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
::ffff:45.79.171.66 - - [19/Jun/2023:00:42:30 +0000] "GET /service.php?token=1819&action=11 HTTP/1.0" 404 150 "-" "-"
::ffff:135.125.246.110 - - [19/Jun/2023:00:52:21 +0000] "POST / HTTP/1.1" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:135.125.246.110 - - [19/Jun/2023:00:52:21 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:162.216.149.176 - - [19/Jun/2023:00:55:10 +0000] "GET / HTTP/1.1" 200 57394 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
::ffff:45.79.171.66 - - [19/Jun/2023:01:04:50 +0000] "GET /service.php?token=1819&action=11 HTTP/1.0" 404 150 "-" "-"
::ffff:45.79.171.66 - - [19/Jun/2023:01:04:53 +0000] "GET /service.php?token=1819&action=11 HTTP/1.0" 404 150 "-" "-"
::ffff:45.79.171.66 - - [19/Jun/2023:01:05:03 +0000] "GET /service.php?token=1819&action=11 HTTP/1.0" 404 150 "-" "-"
::ffff:45.79.171.66 - - [19/Jun/2023:01:08:28 +0000] "GET /service.php?token=1819&action=11 HTTP/1.0" 404 150 "-" "-"
::ffff:43.155.118.219 - - [19/Jun/2023:01:12:58 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 160 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
::ffff:45.79.171.66 - - [19/Jun/2023:01:26:05 +0000] "GET /service.php?token=1819&action=11 HTTP/1.0" 404 150 "-" "-"
::ffff:45.79.171.66 - - [19/Jun/2023:01:26:22 +0000] "GET /service.php?token=1819&action=11 HTTP/1.0" 404 150 "-" "-"
::ffff:45.79.171.66 - - [19/Jun/2023:01:26:29 +0000] "GET /service.php?token=1819&action=11 HTTP/1.0" 404 150 "-" "-"
::ffff:154.209.125.75 - - [19/Jun/2023:01:48:41 +0000] "GET / HTTP/1.1" 200 57394 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0"
::ffff:209.107.184.86 - - [19/Jun/2023:01:57:38 +0000] "GET / HTTP/1.1" 200 57394 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36"
::ffff:209.107.184.86 - - [19/Jun/2023:01:57:38 +0000] "GET /css/wadokikai.css HTTP/1.1" 200 4337 "https://www.wadokikai.org/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36"
::ffff:209.107.184.86 - - [19/Jun/2023:01:57:38 +0000] "GET /images/wkkpatch22_med.png HTTP/1.1" 200 32301 "https://www.wadokikai.org/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36"
::ffff:209.107.184.86 - - [19/Jun/2023:01:57:38 +0000] "GET /images/schools/alamedakaratedomap.jpg HTTP/1.1" 200 38311 "https://www.wadokikai.org/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36"
::ffff:209.107.184.86 - - [19/Jun/2023:01:57:38 +0000] "GET /images/schools/orindakaratedomap.jpg HTTP/1.1" 200 34167 "https://www.wadokikai.org/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36"
::ffff:209.107.184.86 - - [19/Jun/2023:01:57:39 +0000] "GET /js/common.js HTTP/1.1" 200 2255 "https://www.wadokikai.org/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36"
::ffff:209.107.184.86 - - [19/Jun/2023:01:57:39 +0000] "GET /images/schools/dcakaratedomap.jpg HTTP/1.1" 200 35262 "https://www.wadokikai.org/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36"
::ffff:209.107.184.86 - - [19/Jun/2023:01:57:39 +0000] "GET /images/schools/harborbaykaratedomap.jpg HTTP/1.1" 200 37245 "https://www.wadokikai.org/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36"
::ffff:209.107.184.86 - - [19/Jun/2023:01:57:39 +0000] "GET /images/schools/corpuzkaratedomap.jpg HTTP/1.1" 200 36421 "https://www.wadokikai.org/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36"
::ffff:209.107.184.86 - - [19/Jun/2023:01:57:39 +0000] "GET /images/schools/nunleykaratedomap.jpg HTTP/1.1" 200 42667 "https://www.wadokikai.org/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36"
