::ffff:114.119.137.156 - - [30/Aug/2022:00:03:48 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
::ffff:66.249.70.122 - - [30/Aug/2022:00:10:19 +0000] "GET /images/schools/manzanitakaratedomap.jpg HTTP/1.1" 304 - "-" "Googlebot-Image/1.0"
::ffff:162.255.116.17 - - [30/Aug/2022:00:12:09 +0000] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.1" 404 154 "-" "Python-urllib/3.8"
::ffff:198.235.24.147 - - [30/Aug/2022:00:12:15 +0000] "GET / HTTP/1.1" 200 58158 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
::ffff:193.46.255.199 - - [30/Aug/2022:00:16:26 +0000] "GET /Electron/download/windows/\Windows\win.ini HTTP/1.0" 404 185 "-" "xfa1"
::ffff:185.254.196.115 - - [30/Aug/2022:00:18:32 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:185.254.196.115 - - [30/Aug/2022:00:18:32 +0000] "POST / HTTP/1.1" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:207.46.13.188 - - [30/Aug/2022:00:19:07 +0000] "GET / HTTP/1.1" 200 58158 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:135.125.244.48 - - [30/Aug/2022:00:27:41 +0000] "POST / HTTP/1.1" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:135.125.244.48 - - [30/Aug/2022:00:27:41 +0000] "GET /.env HTTP/1.1" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:114.119.152.12 - - [30/Aug/2022:00:36:06 +0000] "GET /docs/TwentyGuidingPriciplesOfKarate.pdf HTTP/1.1" 404 178 "https://wadokikai.org/sdinforeg.php" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
::ffff:202.160.6.35 - - [30/Aug/2022:00:37:52 +0000] "POST /_ignition/execute-solution HTTP/1.1" 404 166 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0"
::ffff:202.160.6.35 - - [30/Aug/2022:00:37:53 +0000] "GET / HTTP/1.1" 200 58158 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0"
::ffff:202.160.6.35 - - [30/Aug/2022:00:37:54 +0000] "GET /script HTTP/1.1" 404 145 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0"
