::ffff:83.97.73.89 - - [07/Jun/2023:00:11:27 +0000] "POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 404 190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:34.140.130.61 - - [07/Jun/2023:00:24:20 +0000] "GET / HTTP/1.1" 200 57394 "-" "python-requests/2.28.2"
::ffff:79.133.51.240 - - [07/Jun/2023:00:24:55 +0000] "GET /sendgrid.env HTTP/1.1" 404 151 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.141 YaBrowser/22.3.3.852 Yowser/2.5 Safari/537.36"
::ffff:64.225.67.219 - - [07/Jun/2023:00:29:16 +0000] "GET / HTTP/1.1" 200 57394 "-" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 10.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729)"
::ffff:64.227.150.86 - - [07/Jun/2023:00:31:36 +0000] "GET /aaa9 HTTP/1.1" 404 143 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:64.227.150.86 - - [07/Jun/2023:00:31:52 +0000] "GET /aab8 HTTP/1.1" 404 143 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:64.227.150.86 - - [07/Jun/2023:00:32:08 +0000] "GET / HTTP/1.1" 200 57394 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:162.241.2.128 - - [07/Jun/2023:00:39:29 +0000] "GET /wordpress/ HTTP/1.1" 404 149 "-" "-"
::ffff:54.36.148.112 - - [07/Jun/2023:00:39:31 +0000] "GET /robots.txt HTTP/1.1" 404 149 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.1 - - [07/Jun/2023:00:39:32 +0000] "GET / HTTP/1.1" 200 57394 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.1 - - [07/Jun/2023:00:39:34 +0000] "GET /images/schools/martinezkaratedomap.jpg HTTP/1.1" 200 37724 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.12 - - [07/Jun/2023:00:39:35 +0000] "GET /images/schools/corpuzkaratedomap.jpg HTTP/1.1" 200 36421 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.3 - - [07/Jun/2023:00:39:35 +0000] "GET /images/schools/nunleykaratedomap.jpg HTTP/1.1" 200 42667 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.18 - - [07/Jun/2023:00:39:36 +0000] "GET /images/schools/harborbaykaratedomap.jpg HTTP/1.1" 200 37245 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.4 - - [07/Jun/2023:00:39:37 +0000] "GET /css/wadokikai.css HTTP/1.1" 200 4337 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.4 - - [07/Jun/2023:00:39:37 +0000] "GET /images/schools/alamedakaratedomap.jpg HTTP/1.1" 200 38311 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.17 - - [07/Jun/2023:00:39:38 +0000] "GET /images/schools/dcakaratedomap.jpg HTTP/1.1" 200 35262 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.18 - - [07/Jun/2023:00:39:39 +0000] "GET / HTTP/1.1" 200 57394 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.15 - - [07/Jun/2023:00:39:40 +0000] "GET /images/schools/orindakaratedomap.jpg HTTP/1.1" 200 34167 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.1 - - [07/Jun/2023:00:39:40 +0000] "GET /images/wkkpatch22_med.png HTTP/1.1" 200 32301 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.9 - - [07/Jun/2023:00:39:41 +0000] "GET /images/schools/manzanitakaratedomap.jpg HTTP/1.1" 200 55402 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.19 - - [07/Jun/2023:00:39:42 +0000] "GET /images/schools/earhartkaratedomap.jpg HTTP/1.1" 200 41366 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:51.222.253.15 - - [07/Jun/2023:00:39:43 +0000] "GET /js/common.js HTTP/1.1" 200 2255 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:43.155.118.219 - - [07/Jun/2023:00:44:45 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 160 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
::ffff:172.58.103.123 - - [07/Jun/2023:00:59:24 +0000] "GET / HTTP/1.1" 200 57394 "https://www.google.com/url?q=https://www.wadokikai.org/&sa=U&sqi=2&ved=2ahUKEwit-t-q-q__AhX7mGoFHbEUBKcQFnoECBoQAQ&usg=AOvVaw38v_3_zsXRwBeQZavSYrVO" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/266.0.533926599 Mobile/15E148 Safari/604.1"
::ffff:172.58.103.123 - - [07/Jun/2023:00:59:25 +0000] "GET /js/common.js HTTP/1.1" 200 2255 "https://www.wadokikai.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/266.0.533926599 Mobile/15E148 Safari/604.1"
::ffff:172.58.103.123 - - [07/Jun/2023:00:59:25 +0000] "GET /css/wadokikai.css HTTP/1.1" 200 4337 "https://www.wadokikai.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/266.0.533926599 Mobile/15E148 Safari/604.1"
::ffff:172.58.103.123 - - [07/Jun/2023:00:59:25 +0000] "GET /images/wkkpatch22_med.png HTTP/1.1" 200 32301 "https://www.wadokikai.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/266.0.533926599 Mobile/15E148 Safari/604.1"
::ffff:172.58.103.123 - - [07/Jun/2023:00:59:26 +0000] "GET /images/schools/alamedakaratedomap.jpg HTTP/1.1" 200 38311 "https://www.wadokikai.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/266.0.533926599 Mobile/15E148 Safari/604.1"
::ffff:172.58.103.123 - - [07/Jun/2023:00:59:26 +0000] "GET /images/schools/orindakaratedomap.jpg HTTP/1.1" 200 34167 "https://www.wadokikai.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/266.0.533926599 Mobile/15E148 Safari/604.1"
::ffff:172.58.103.123 - - [07/Jun/2023:00:59:26 +0000] "GET /images/schools/dcakaratedomap.jpg HTTP/1.1" 200 35262 "https://www.wadokikai.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/266.0.533926599 Mobile/15E148 Safari/604.1"
